Persona, Arcana, Curse, Electric, Fire, Ice, Item, Bless, Lv, Nuclear, Personality, Phys, Psi, Gun, Skills, Wind
Abaddon,Judgement,ab,-,-,-,Makarakarn,-,74,wk,ab,wk,ab,"Absorb Phys(79),Deathbound,Gigantomachia(80),Makarakarn,Spirit Drain,Survival Trick(77)",-                
Agathion,Chariot,-,rs,-,-,Zio,-,3,-,Timid,-,-,rs,"Baisudi,Dia,Dodge Electric(8),Lunge(4),Rakukaja(6),Zio",wk
            Mudoon: 0,
            Rainy Death: 67,
            Stagnant Air: 63
        },
        st: 40,
        wind: -
    },
    Chi You: {
        ag: 52,
        arcana: Chariot,
        curse: -,        
        electric: -,
        en: 53,
        fire: -,
        ice: -,
        item: Arms Master,
        bless: -,
        lu: 50,
        lvl: 86,
        ma: 56,        
        nuclear: wk,
        phys: rs,
        Psi: nu,
        gun: rs,        
        skills: {
            Absorb Psi: 90,
            Gigantomachia: 0,
            Mind Charge: 92,
            Psicho Force: 89,
            Psichokinesis: 0,
            Repel Phys: 0,
            Resist Ailment: 88
        },
        st: 54,
        wind: -
    },
    Choronzon: {
        ag: 18,
        arcana: Magician,
        curse: -,        
        electric: -,
        en: 19,
        fire: ab,
        ice: -,
        item: Maeiha,
        bless: wk,
        lu: 19,
        lvl: 28,
        ma: 19,        
        nuclear: -,
        personality: Timid,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Bloodsuck: 0,
            Curse Boost: 32,
            Dodge Electric: 30,
            Eiga: 31,
            Maeiha: 29,
            Pulinpa: 0,
            Rainy Play: 33,
            Rampage: 0
        },
        st: 16,
        wind: -
    },
    Clotho: {
        ag: 20,
        arcana: Fortune,
        curse: -,        
        electric: -,
        en: 17,
        fire: -,
        ice: wk,
        item: Invigorate 1,
        bless: -,
        lu: 15,
        lvl: 26,
        ma: 19,
        nuclear: wk,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Energy Shower: 30,
            Invigorate 1: 32,
            Mahama: 0,
            Makajam: 0,
            Makajamon: 29,
            Me Patra: 0,
            Tetraja: 27
        },
        st: 14,
        wind: nu
    },
    Crystal Skull: {
        ag: 50,
        arcana: Fool,
        curse: rp,        
        electric: rp,
        en: 50,
        fire: rp,
        ice: rp,
        item: 水晶髑髏,
        bless: -,
        lu: 50,
        lvl: 50,
        ma: 50,
        nuclear: rp,
        phys: rs,
        Psi: rp,
        gun: nu,        
        skills: {
            Mabufudyne: 0,
            Maeigaon: 0,
            Mafreidyne: 0,
            Magarudyne: 0,
            Makougaon: 0,
            MaPsidyne: 0,
            Maragidyne: 0,
            Maziodyne: 0
        },
        st: 50,
        wind: rp
    },
    Cu Chulainn: {
        ag: 47,
        arcana: Star,
        curse: -,        
        electric: wk,
        en: 44,
        fire: -,
        ice: -,
        item: Power Charge,
        bless: nu,
        lu: 34,
        lvl: 67,
        ma: 36,
        nuclear: -,
        phys: rs,
        Psi: -,
        gun: rs,        
        skills: {
            Deadly Fury: 0,
            Dekunda: 70,
            Enduring Soul: 72,
            Ice Wall: 0,
            Matarukaja: 69,
            Oni Kagura: 0,
            Power Charge: 71
        },
        st: 47,
        wind: rp
    },
    Cybele: {
        ag: 51,
        arcana: Priestess,
        curse: -,        
        electric: wk,
        en: 45,
        fire: rs,
        ice: -,
        item: サバジオス,
        bless: nu,
        lu: 38,
        lvl: 73,
        ma: 48,        
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Absorb Bless: 77,
            Auto-Maraku: 76,
            Bless Amp: 74,
            Makougaon: 0,
            Mediarahan: 0,
            Salvation: 79,
            Samarecarm: 0
        },
        st: 44,
        wind: -
    },
    Daisoujou: {
        ag: 25,
        arcana: Hierophant,
        curse: wk,        
        electric: -,
        en: 24,
        fire: -,
        ice: -,
        item: Makouga,
        bless: nu,
        lu: 29,
        lvl: 42,
        ma: 33,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: rs,        
        skills: {
            Diarahan: 45,
            Bless Boost: 44,
            Makouga: 0,
            Me Patra: 46,
            Null Rage: 47,
            Samsara: 43,
            Spirit Drain: 0
        },
        st: 22,
        wind: -
    },
    Dakini: {
        ag: 28,
        arcana: Empress,
        curse: -,        
        electric: -,
        en: 34,
        fire: rs,
        ice: -,
        item: Deathbound,
        bless: -,
        lu: 29,
        lvl: 50,
        ma: 32,        
        nuclear: -,
        personality: Unknown,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Bad Beat: 0,
            Deathbound: 53,
            Giant Slice: 0,
            High Counter: 52,
            Power Charge: 55,
            Rising Slash: 0,
            Rebellion: 54
        },
        st: 34,
        wind: -
    },
    Decarabia: {
        ag: 22,
        arcana: Fool,
        curse: rs,        
        electric: -,
        en: 19,
        fire: rp,
        ice: -,
        item: Fire Boost,
        bless: -,
        lu: 18,
        lvl: 32,
        ma: 23,        
        nuclear: rs,
        personality: Gloomy,
        phys: wk,
        Psi: -,
        gun: -,        
        skills: {
            Agilao: 0,
            Devil Smile: 37,
            Fire Boost: 35,
            Maragion: 33,
            Null Fire: 36,
            Tetrakarn: 38,
            Word of Calamity: 0
        },
        st: 21,
        wind: -
    },
    Dionysus: {
        ag: 40,
        arcana: Fool,
        curse: rs,        
        electric: rp,
        en: 38,
        fire: -,
        ice: -,
        item: Thermopylae,
        bless: rs,
        lu: 36,
        lvl: 61,
        ma: 41,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,       
        skills: {
            Ailment Boost: 63,
            Amrita Shower: 66,
            Banishing Wave: 0,
            Heat Wave: 0,
            Maragidyne: 65,
            Psidyne: 0,
            Thermopylae: 62
        },
        st: 35,
        wind: -
    },
    Dominion: {
        ag: 48,
        arcana: Justice,
        curse: rs,        
        electric: -,
        en: 45,
        fire: -,
        ice: -,
        item: Makougaon,
        bless: nu,
        lu: 40,
        lvl: 68,
        ma: 47,        
        nuclear: rp,
        personality: Unknown,
        phys: -,
        Psi: -,
        gun: wk,        
        skills: {
            Blinding Flash: 0,
            Evade Curseness: 73,
            Hama Boost: 71,
            Hamaon: 0,
            Kougaon: 0,
            Mahamaon: 72,
            Makougaon: 70
        },
        st: 46,
        wind: -
    },
    Eligor: {
        ag: 10,
        arcana: Emperor,
        curse: -,        
        electric: wk,
        en: 13,
        fire: rs,
        ice: -,
        item: Tarukaja,
        bless: -,
        lu: 10,
        lvl: 16,
        ma: 10,        
        nuclear: -,
        personality: Unknown,
        phys: -,
        Psi: -,
        gun: rs,        
        skills: {
            Memory Blow: 20,
            Sharp Student: 0,
            Double Fangs: 18,
            Maragi: 0,
            Sukunda: 19,
            Tarukaja: 0
        },
        st: 12,
        wind: -
    },
    Emperor\u0027s Amulet: {
        ag: 35,
        arcana: Hanged Man,
        curse: nu,        
        electric: ab,
        en: 35,
        fire: -,
        ice: ab,
        item: 大帝の護符,
        bless: nu,
        lu: 35,
        lvl: 35,
        ma: 35,
        nuclear: ab,
        phys: rs,
        Psi: ab,
        gun: nu,        
        skills: {
            Agidyne: 0,
            Bufudyne: 0,
            Eigaon: 0,
            Freidyne: 0,
            Garudyne: 0,
            Kougaon: 0,
            Psidyne: 0,
            Ziodyne: 0
        },
        st: 35,
        wind: ab
    },
    Feng Huang: {
        ag: 18,
        arcana: Hierophant,
        curse: -,        
        electric: wk,
        en: 15,
        fire: -,
        ice: rs,
        item: Nuclear Boost,
        bless: -,
        lu: 11,
        lvl: 22,
        ma: 15,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Diarama: 23,
            Dream Needle: 0,
            Freila: 0,
            Nuclear Boost: 27,
            Recarm: 25
        },
        st: 14,
        wind: nu
    },
    Flauros: {
        ag: 18,
        arcana: Devil,
        curse: -,        
        electric: -,
        en: 18,
        fire: nu,
        ice: wk,
        item: 不動の足枷,
        bless: -,
        lu: 13,
        lvl: 25,
        ma: 14,
        nuclear: rs,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Assault Dive: 29,
            Dekaja: 0,
            Dodge Physical: 26,
            Dormin Rush: 0,
            Giant Slice: 0,
            Heat Up: 30
        },
        st: 19,
        wind: rs
    },
    Forneus: {
        ag: 42,
        arcana: Hierophant,
        curse: -,        
        electric: wk,
        en: 40,
        fire: -,
        ice: ab,
        item: Masukunda,
        bless: -,
        lu: 34,
        lvl: 63,
        ma: 39,        
        nuclear: -,
        personality: Unknown,
        phys: -,
        Psi: nu,
        gun: -,        
        skills: {
            Evade Psi: 68,
            MaPsidyne: 67,
            Marin Karin: 0,
            Masukunda: 0,
            Psidyne: 0,
            Stagnant Air: 66,
            Survival Trick: 65
        },
        st: 41,
        wind: -
    },
    Fortuna: {
        ag: 34,
        arcana: Fortune,
        curse: -,        
        electric: wk,
        en: 29,
        fire: nu,
        ice: -,
        item: Fast Heal,
        bless: -,
        lu: 27,
        lvl: 46,
        ma: 32,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Amrita Drop: 50,
            Evade Electric: 51,
            Garudyne: 47,
            Magarula: 0,
            Masukukaja: 0,
            Tetraja: 0,
            Touch and Go: 49
        },
        st: 23,
        wind: nu
    },
    Futsunushi: {
        ag: 49,
        arcana: Magician,
        curse: -,        
        electric: -,
        en: 47,
        fire: -,
        ice: -,
        item: Brave Blade,
        bless: -,
        lu: 37,
        lvl: 76,
        ma: 48,        
        nuclear: wk,
        phys: rs,
        Psi: -,
        gun: -,        
        skills: {
            Ali Dance: 0,
            Apt Pupil: 80,
            Brave Blade: 82,
            Firm Stance: 81,
            Matarukaja: 0,
            Power Charge: 78,
            Rainy Death: 0,
            Regenerate 3: 79
        },
        st: 54,
        wind: -
    },
    Fuu-Ki: {
        ag: 15,
        arcana: Star,
        curse: -,        
        electric: wk,
        en: 16,
        fire: -,
        ice: -,
        item: Wind Boost,
        bless: -,
        lu: 14,
        lvl: 23,
        ma: 17,        
        nuclear: -,
        personality: Unknown,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Dodge Wind: 26,
            Garula: 0,
            Resist Psi: 27,
            Tarukaja: 0,
            Tetra Break: 0,
            Wind Boost: 25
        },
        st: 14,
        wind: ab
    },
    Gabriel: {
        ag: 54,
        arcana: Temperance,
        curse: -,        
        electric: -,
        en: 48,
        fire: -,
        ice: -,
        item: Mabufudyne,
        bless: ab,
        lu: 42,
        lvl: 77,
        ma: 51,
        nuclear: -,
        phys: -,
        Psi: nu,
        gun: -,        
        skills: {
            Ali Dance: 79,
            Divine Judgement: 78,
            Evade Curseness: 80,
            Ice Amp: 82,
            Mabufudyne: 0,
            Maziodyne: 0,
            Salvation: 83,
            Touch and Go: 81
        },
        st: 43,
        wind: -
    },
    Ganesha: {
        ag: 33,
        arcana: Sun,
        curse: -,        
        electric: -,
        en: 37,
        fire: -,
        ice: -,
        item: Miracle Punch,
        bless: -,
        lu: 26,
        lvl: 53,
        ma: 31,        
        nuclear: -,
        personality: Unknown,
        phys: rs,
        Psi: wk,
        gun: -,        
        skills: {
            Endure: 56,
            Giant Slice: 0,
            Masukunda: 57,
            Miracle Punch: 0,
            Power Charge: 60,
            Rebellion: 0,
            Tetraja: 55
        },
        st: 39,
        wind: ab
    },
    Garuda: {
        ag: 39,
        arcana: Star,
        curse: -,        
        electric: -,
        en: 29,
        fire: -,
        ice: -,
        item: Wind Amp,
        bless: rp,
        lu: 29,
        lvl: 52,
        ma: 36,        
        nuclear: -,
        personality: Unknown,
        phys: -,
        Psi: -,
        gun: wk,        
        skills: {
            Amrita Shower: 0,
            Evade Electric: 55,
            Garudyne: 0,
            Heat Wave: 0,
            Magarudyne: 57,
            Masukukaja: 54,
            Wind Amp: 59
        },
        st: 30,
        wind: rs
    },
    Genbu: {
        ag: 6,
        arcana: Temperance,
        curse: -,        
        electric: wk,
        en: 7,
        fire: -,
        ice: nu,
        item: Patra,
        bless: -,
        lu: 4,
        lvl: 7,
        ma: 6,
        nuclear: -,
        phys: -,
        Psi: rs,
        gun: -,        
        skills: {
            Bufu: 0,
            Defense Master: 12,
            Mabufu: 10,
            Patra: 8,
            Rakunda: 0,
            Resist Forget: 11
        },
        st: 5,
        wind: -
    },
    Girimehkala: {
        ag: 32,
        arcana: Moon,
        curse: nu,        
        electric: -,
        en: 32,
        fire: rs,
        ice: -,
        item: Marakunda,
        bless: wk,
        lu: 15,
        lvl: 44,
        ma: 24,        
        nuclear: -,
        personality: Gloomy,
        phys: rp,
        Psi: -,
        gun: rp,        
        skills: {
            Foul Breath: 46,
            Marakunda: 0,
            Mudoon: 0,
            Repel Phys: 51,
            Swift Strike: 0,
            Wage War: 48
        },
        st: 36,
        wind: -
    },
    Hanuman: {
        ag: 40,
        arcana: Star,
        curse: -,        
        electric: -,
        en: 40,
        fire: -,
        ice: wk,
        item: 如意棒,
        bless: rs,
        lu: 38,
        lvl: 64,
        ma: 38,        
        nuclear: -,
        personality: Unknown,
        phys: -,
        Psi: rs,
        gun: -,        
        skills: {
            Deathbound: 65,
            Matarunda: 0,
            Regenerate 3: 69,
            Revolution: 0,
            Tempest Slash: 0,
            Tetra Break: 67
        },
        st: 43,
        wind: -
    },
    Hariti: {
        ag: 26,
        arcana: Empress,
        curse: -,        
        electric: -,
        en: 25,
        fire: -,
        ice: -,
        item: Spirit Drain,
        bless: rs,
        lu: 23,
        lvl: 40,
        ma: 29,        
        nuclear: -,
        personality: Unknown,
        phys: -,
        Psi: rs,
        gun: -,        
        skills: {
            Blinding Flash: 42,
            Dizzy Boost: 45,
            Energy Shower: 0,
            Mabaisudi: 0,
            Mediarama: 44,
            Samarecarm: 41,
            Spirit Drain: 46,
            Zionga: 0
        },
        st: 24,
        wind: wk
    },
    Hecatoncheir: {
        ag: 25,
        arcana: Hanged Man,
        curse: nu,        
        electric: -,
        en: 30,
        fire: -,
        ice: -,
        item: Endure,
        bless: wk,
        lu: 24,
        lvl: 42,
        ma: 25,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: rs,        
        skills: {
            Endure: 43,
            Foul Breath: 45,
            High Voltage: 46,
            Power Charge: 48,
            Regenerate 2: 0,
            Swift Strike: 0,
            Tarukaja: 0
        },
        st: 29,
        wind: -
    },
    Hell Biker: {
        ag: 30,
        arcana: Death,
        curse: -,        
        electric: -,
        en: 24,
        fire: rp,
        ice: -,
        item: ブラックジャケット,
        bless: wk,
        lu: 17,
        lvl: 39,
        ma: 27,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Agilao: 0,
            Fire Boost: 40,
            Mamudoon: 44,
            Maragion: 42,
            Mudoon: 0,
            Speed Master: 0,
            Tentarafoo: 41,
            Trigger Happy: 43
        },
        st: 26,
        wind: rs
    },
    High Pixie: {
        ag: 13,
        arcana: Fool,
        curse: -,        
        electric: rs,
        en: 10,
        fire: -,
        ice: -,
        item: Diarama,
        bless: -,
        lu: 10,
        lvl: 16,
        ma: 14,        
        nuclear: wk,
        personality: Irritable,
        phys: -,
        Psi: -,
        gun: wk,        
        skills: {
            Diarama: 18,
            Dormina: 0,
            Garu: 0,
            Magaru: 20,
            Media: 0,
            Taunt: 19
        },
        st: 8,
        wind: rs
    },
    Hope Diamond: {
        ag: 40,
        arcana: Death,
        curse: nu,       
        electric: rp,
        en: 40,
        fire: rp,
        ice: rp,
        item: ホープダイヤ,
        bless: nu,
        lu: 40,
        lvl: 40,
        ma: 40,        
        nuclear: rp,
        phys: rs,
        Psi: rp,
        gun: nu,       
        skills: {
            Auto-Maraku: 0,
            Auto-Masuku: 0,
            Auto-Mataru: 0,
            Endure: 0,
            Fast Heal: 0,
            High Counter: 0,
            Invigorate 2: 0,
            Regenerate 2: 0
        },
        st: 40,
        wind: -
    },
    Horus: {
        ag: 35,
        arcana: Sun,
        curse: -,        
        electric: nu,
        en: 32,
        fire: wk,
        ice: -,
        item: Kougaon,
        bless: rp,
        lu: 25,
        lvl: 49,
        ma: 32,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Diarama: 0,
            Hama Boost: 54,
            Hamaon: 53,
            Kougaon: 0,
            Masukukaja: 52,
            Megido: 0,
            Touch and Go: 51
        },
        st: 30,
        wind: -
    },
    Hua Po: {
        ag: 8,
        arcana: Hanged Man,
        curse: -,
        electric: -,
        en: 4,
        fire: rp,
        ice: wk,
        item: Agilao,
        bless: -,
        lu: 8,
        lvl: 9,
        ma: 10,        
        nuclear: -,
        personality: Upbeat,
        phys: -,
        Psi: -,
        gun: wk,        
        skills: {
            Agi: 0,
            Burn Boost: 15,
            Dormina: 0,
            Maragi: 13,
            Resist Forget: 12,
            Tarunda: 11
        },
        st: 4,
        wind: -
    },
    Incubus: {
        ag: 5,
        arcana: Devil,
        curse: -,        
        electric: rs,
        en: 4,
        fire: -,
        ice: -,
        item: Dream Needle,
        bless: wk,
        lu: 3,
        lvl: 5,
        ma: 6,        
        nuclear: -,
        personality: Timid,
        phys: -,
        Psi: -,
        gun: wk,        
        skills: {
            Bloodsuck: 0,
            Devil Touch: 0,
            Dodge Curseness: 9,
            Eiha: 7,
            Tarunda: 8
        },
        st: 4,
        wind: -
    },
    Inugami: {
        ag: 12,
        arcana: Hanged Man,
        curse: nu,        
        electric: -,
        en: 9,
        fire: nu,
        ice: -,
        item: Brain Shake,
        bless: -,
        lu: 8,
        lvl: 14,
        ma: 11,        
        nuclear: -,
        personality: Timid,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Brain Shake: 18,
            Dream Needle: 15,
            Giant Slice: 0,
            Lucky Punch: 17,
            Panic Boost: 19,
            Pulinpa: 0,
            Tarukaja: 0
        },
        st: 12,
        wind: wk
    },
    Ippon-Datara: {
        ag: 6,
        arcana: Hermit,
        curse: rs,        
        electric: -,
        en: 14,
        fire: rs,
        ice: wk,
        item: Sledgehammer,
        bless: rs,
        lu: 8,
        lvl: 13,
        ma: 7,        
        nuclear: -,
        personality: Unknown,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Sharp Student: 16,
            Counter: 18,
            Rampage: 15,
            Resist Dizzy: 0,
            Sledgehammer: 0,
            Tarukaja: 0
        },
        st: 11,
        wind: rp
    },
    Ishtar: {
        ag: 58,
        arcana: Lovers,
        curse: -,        
        electric: nu,
        en: 49,
        fire: -,
        ice: -,
        item: Salvation,
        bless: -,
